Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Kürk Mantolu Madonna,Sabahattin Ali,8.7,"['Roman', 'Aşk', 'Edebiyat', 'Türk Klasikleri']",,320000,86400,22.75,18.75,28.200000000000003,71.8,272,160,2021,1934,Yapı Kredi Yayınları,,,,
Hayvan Çiftliği,George Orwell,8.5,"['Roman', 'Dünya Klasikleri', 'Siyaset-Politika', 'Edebiyat', 'Eleştiri-Kuram', 'Sosyoloji']",Celal Üster,251000,54900,48.75,38.61,32.3,67.7,258,152,2020,1945,Can Yayınları,,,,
Satranç,Stefan Zweig,8.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Ahmet Cemal,241000,51100,12.0,15.44,30.400000000000006,69.6,141,83,2020,1941,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Küçük Prens,Antoine de Saint-Exupéry,8.9,"['Çocuk', 'Dünya Klasikleri', 'Edebiyat', 'Fantastik', 'Roman']",Tomris Uyar,239000,55300,39.0,47.13,23.299999999999997,76.7,190,112,2015,1943,Can Çocuk  Yayınları,,,,
Şeker Portakalı,José Mauro de Vasconcelos,9.0,"['Roman', 'Dünya Klasikleri', 'Çocuk', 'Edebiyat']",Aydın Emeç,234000,57200,78.0,87.03,22.900000000000006,77.1,313,184,2022,1968,Can Yayınları,,,,
Bilinmeyen Bir Kadının Mektubu,Stefan Zweig,7.9,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Aşk', 'Edebiyat', 'Kadın']",Ahmet Cemal,229000,45000,9.03,6.33,18.799999999999997,81.2,116,68,2022,1922,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Dönüşüm,Franz Kafka,7.7,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Fantastik', 'Edebiyat']",Gülperi Sert,227000,41400,19.5,20.15,28.799999999999997,71.2,126,74,2022,1915,Türkiye İş Bankası Kültür Yayınları,,,,
Simyacı,Paulo Coelho,8.2,"['Roman', 'Edebiyat']",Özdemir İnce,210000,46500,90.0,87.02,28.799999999999997,71.2,320,188,2023,1988,Can Yayınları,,Ayşe Çelem,,
İnsan Neyle Yaşar?,Lev Tolstoy,8.4,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Koray Karasulu,196000,37000,18.2,21.7,28.599999999999994,71.4,163,96,2019,1885,Türkiye İş Bankası Kültür Yayınları,,,,
Kuyucaklı Yusuf,Sabahattin Ali,8.4,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,177000,35500,26.0,22.9,31.599999999999994,68.4,377,222,2021,1937,Yapı Kredi Yayınları,Ayfer Tunç,,,
Fareler ve İnsanlar,John Steinbeck,8.5,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Belkıs Çorakçı Dişbudak,175000,36700,48.75,62.15,26.799999999999997,73.2,190,112,2023,1937,Sel Yayıncılık,,Gülay Tunç,,
İçimizdeki Şeytan,Sabahattin Ali,8.2,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,175000,37800,7.8,9.9,25.299999999999997,74.7,435,256,2019,1940,Yapı Kredi Yayınları,,,,
